ADD_COMEDY,Mon May 25 22:11:30 EEST 2020
ADD_HORROR,Mon May 25 22:19:39 EEST 2020
ADD_CLIENT,Mon May 25 22:20:04 EEST 2020
SOLD_TICKET,Mon May 25 22:20:21 EEST 2020
DISPLAYED_AVAILABLE_TICKETS,Mon May 25 22:20:40 EEST 2020
DISPLAYED_SOLD_TICKETS,Mon May 25 22:20:55 EEST 2020
DISPLAYED_AVAILABLE_TICKETS,Mon May 25 22:22:01 EEST 2020
UPDATE_CLIENT_AGE,Mon May 25 22:22:16 EEST 2020
DISPLAYED_CLIENTS,Mon May 25 22:22:26 EEST 2020
UPDATE_CLIENT_SUBSCRIPTION,Mon May 25 22:22:42 EEST 2020
DISPLAYED_CLIENTS,Mon May 25 22:22:48 EEST 2020
DISPLAYED_ALL_MOVIES,Mon May 25 22:22:55 EEST 2020
DISPLAYED_MOVIES_FROM_CATEGORY,Mon May 25 22:23:11 EEST 2020
DISPLAYED_MOVIES_FROM_CATEGORY,Mon May 25 22:23:15 EEST 2020
DISPLAYED_MOVIES_FROM_CATEGORY,Mon May 25 22:23:25 EEST 2020
DISPLAYED_SOLD_TICKETS,Mon May 25 22:23:30 EEST 2020
DELETED_CLIENT,Mon May 25 22:23:40 EEST 2020
DISPLAYED_CLIENTS,Mon May 25 22:23:43 EEST 2020
DELETED_MOVIE,Mon May 25 22:23:54 EEST 2020
DISPLAYED_ALL_MOVIES,Mon May 25 22:24:02 EEST 2020
ADD_CLIENT, Mon May 25 22:31:30 EEST 2020
ADD_CLIENT, Mon May 25 22:31:46 EEST 2020
DISPLAYED_CLIENTS, Mon May 25 22:31:50 EEST 2020
DISPLAYED_CLIENTS, Mon May 25 22:32:33 EEST 2020
DISPLAYED_CLIENTS, Mon May 25 22:33:49 EEST 2020
